country,year,adaptation_and_nature_solutions,climate_science_and_phenomena,energy_and_technology,extreme_weather_and_impacts,greenhouse_gases_and_emissions,policy_agreements_and_economics,total_sentences,climate_sentences_BERT,climate_sentence_ratio_BERT,renew_pct,log_gdp,vulnerability_score
AFG,1995,0.0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,0.0163934426229508,31.8,,0.648095042371333
AFG,1996,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,0.0116279069767441,33.9,,0.648263473868145
AFG,1997,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,0.0129870129870129,36.4,,0.64842211113759
AFG,1998,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,0.0185185185185185,38.0,,0.646763832045747
AFG,1999,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,43.4,,0.645412957257189
AFG,2000,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,45.0,,0.643983534137096
AFG,2001,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.02,45.6,,0.642143734920346
AFG,2002,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.024390243902439,37.8,22.072438449185487,0.640002596351851
AFG,2003,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,36.7,22.236081953643957,0.63001207987409
AFG,2004,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,44.2,22.37592128171551,0.63153047806788
AFG,2005,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,33.9,22.552031860752184,0.63650730663405
AFG,2006,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,31.9,22.665079512470953,0.638224305642302
AFG,2007,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,0.0535714285714285,28.8,22.997015671692814,0.633808433033769
AFG,2008,0.0,0.0,0.0,1.0,0.0,0.0,48.0,2.0,0.0416666666666666,21.2,23.050521134377327,0.632486165661546
AFG,2009,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,0.0188679245283018,16.5,23.22099292821015,0.631901436411985
AFG,2010,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0666666666666666,15.2,23.472703866822478,0.618568772555918
AFG,2011,0.0,0.0,0.0,0.0,0.0,0.0,95.0,3.0,0.031578947368421,12.6,23.624160579739918,0.62398310591739
AFG,2012,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0238095238095238,15.4,23.72912530492021,0.617987193773297
AFG,2013,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,0.0135135135135135,16.9,23.746831416142143,0.622179704064244
AFG,2014,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,0.0789473684210526,19.1,23.746155135004837,0.620713777235184
AFG,2015,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0204081632653061,17.7,23.718905287992527,0.617663907540975
AFG,2016,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0153846153846153,20.2,23.614723360907433,0.61891830302453
AFG,2017,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0149253731343283,19.5,23.66223478568486,0.624045312829365
AFG,2018,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0465116279069767,18.3,23.63664099582697,0.621219895745992
AFG,2019,0.0,0.0,0.0,0.0,0.0,0.0,75.0,9.0,0.12,18.9,23.662665943448076,0.616649620725657
AFG,2020,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.0,0.2051282051282051,18.2,23.726145095152788,0.610147247224136
AFG,2021,,,,,,,,,,,23.403131577241094,0.612745880916543
AGO,1995,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0178571428571428,73.8,22.439083745151844,0.516243629897094
AGO,1996,0.0,0.0,0.0,0.0,0.0,0.0,79.0,6.0,0.0759493670886076,72.9,22.741757605422578,0.516592711199287
AGO,1997,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.025,73.4,22.75775935941204,0.516494492119763
AGO,1998,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,76.4,22.596025955951845,0.516396486959279
AGO,1999,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0303030303030303,72.8,22.540193081141865,0.516509873709508
AGO,2000,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0153846153846153,73.8,22.934787151488553,0.516752727504355
AGO,2001,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0263157894736842,72.8,22.91336276763101,0.519123426125635
AGO,2002,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,70.8,23.45017655418107,0.517333919575271
AGO,2003,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,65.6,23.603177782684735,0.516960625844486
AGO,2004,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,62.3,23.88247903448307,0.515422551721755
AGO,2005,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,68.9,24.3333969813859,0.517702080664831
AGO,2006,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,62.6,24.681810246376667,0.521854661861993
AGO,2007,0.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,0.1702127659574468,58.9,24.901743433224315,0.517628853540546
AGO,2008,0.0,0.0,0.0,0.0,0.0,0.0,62.0,7.0,0.1129032258064516,55.4,25.20670518494087,0.518229453992718
AGO,2009,0.0,0.0,0.0,0.0,0.0,0.0,73.0,3.0,0.0410958904109589,53.0,24.976139998617658,0.522619312453244
AGO,2010,0.0,0.0,0.0,0.0,0.0,0.0,55.0,6.0,0.109090909090909,53.1,25.126314047865367,0.524529300402461
AGO,2011,0.0,0.0,0.0,0.0,0.0,0.0,61.0,3.0,0.0491803278688524,51.7,25.418610920409016,0.518970822700011
AGO,2012,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0967741935483871,49.0,25.551565259362256,0.516074094591838
AGO,2013,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.1481481481481481,46.8,25.616629834075702,0.517998730794403
AGO,2014,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,47.5,25.645029400092653,0.522961692388272
AGO,2015,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.1612903225806451,47.1,25.191691478060804,0.524903307025906
AGO,2016,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.2,48.1,24.632093566473355,0.526533690259456
AGO,2017,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,0.1282051282051282,52.5,24.95697761721549,0.527919390604736
AGO,2018,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0769230769230769,52.5,25.077316575997784,0.53066874562908
AGO,2019,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.3333333333333333,51.0,24.96184219404046,0.530217865623582
AGO,2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.1,24.64010459289156,0.532385848406537
AGO,2021,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.08,52.9,24.908143049884917,0.528720273479562
AGO,2022,0.0,0.0,1.0,0.0,0.0,0.0,20.0,3.0,0.15,,25.39341462286382,0.526648612374127
AGO,2023,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,0.1458333333333333,,,0.527344928530993
AGO,2024,0.0,0.0,1.0,0.0,0.0,0.0,66.0,10.0,0.1515151515151515,,,0.527907173262356
ALB,1995,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,50.6,21.59571537652285,0.504737809869657
ALB,1996,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,51.6,21.8863043985775,0.503647041666179
ALB,1997,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0163934426229508,55.9,21.537972900332242,0.501313925116974
ALB,1998,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0149253731343283,49.9,21.65777540964764,0.502446557141491
ALB,1999,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,42.6,21.890197506224066,0.507858836522049
ALB,2000,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,41.4,21.970400211154594,0.506091268221632
ALB,2001,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.032258064516129,39.0,22.089893264033375,0.507570974428974
ALB,2002,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.0,0.0307692307692307,35.8,22.19299750111441,0.50533855336826
ALB,2003,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0256410256410256,33.7,22.448083233397284,0.503694871725883
ALB,2004,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0363636363636363,35.8,22.695217623022845,0.497863435265072
ALB,2005,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,36.8,22.8091959334758,0.492422735028662
ALB,2006,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,31.6,22.90887600472486,0.489017122883763
ALB,2007,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0178571428571428,32.0,23.09138815904691,0.487828365080356
ALB,2008,0.0,0.0,0.0,0.0,0.0,0.0,69.0,6.0,0.0869565217391304,35.8,23.27904658921841,0.483344076463963
ALB,2009,0.0,0.0,2.0,0.0,0.0,0.0,70.0,5.0,0.0714285714285714,37.1,23.211849515836043,0.483307685742984
ALB,2010,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,0.0266666666666666,37.0,23.202064424947444,0.475267122651015
ALB,2011,0.0,0.0,1.0,0.0,0.0,0.0,118.0,16.0,0.135593220338983,35.8,23.279776633771814,0.470975270430539
ALB,2012,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0576923076923076,39.9,23.234476339847628,0.462016084097123
ALB,2013,0.0,0.0,0.0,0.0,0.0,0.0,69.0,4.0,0.0579710144927536,41.1,23.27085182261076,0.461595256873728
ALB,2014,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.06,38.6,23.30561278380299,0.456438873179432
ALB,2015,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.12,38.5,23.15572529379174,0.452181910224145
ALB,2016,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0666666666666666,39.4,23.196538391587907,0.453082024592574
ALB,2017,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,0.064516129032258,36.9,23.28973144524153,0.454816662591784
ALB,2018,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.1428571428571428,37.8,23.441690309521313,0.445776530529326
ALB,2019,0.0,0.0,0.0,0.0,0.0,0.0,64.0,13.0,0.203125,40.1,23.457751916024648,0.439418986495686
ALB,2020,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.12,44.4,23.442106557428698,0.432774768062685
ALB,2021,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,0.108695652173913,41.9,23.60977264213704,0.420492256110072
ALB,2022,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0333333333333333,,23.661479982924167,0.41484199288523
ALB,2023,0.0,0.0,0.0,0.0,0.0,0.0,82.0,10.0,0.1219512195121951,,,0.41369605417545
ALB,2024,0.0,0.0,0.0,0.0,0.0,0.0,61.0,4.0,0.0655737704918032,,,0.416322992249691
AND,1995,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,0.0232558139534883,14.3,20.887716416506372,0.451454786668518
AND,1996,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,13.9,20.92540915157251,0.451377327899909
AND,1997,0.0,0.0,0.0,0.0,0.0,0.0,66.0,5.0,0.0757575757575757,14.0,20.88932764084643,0.451477456795677
AND,1998,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,14.2,20.915499732122655,0.443372145553265
AND,1999,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,0.03125,14.3,20.938248393749927,0.441003277801137
AND,2000,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,0.0571428571428571,14.5,21.080274399428287,0.413999967524542
AND,2001,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,15.4,21.159526737248296,0.412187507268107
AND,2002,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0303030303030303,15.8,21.286298579864887,0.408647023553839
AND,2003,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.0,0.1304347826086956,16.5,21.582620343847783,0.404554609539446
AND,2004,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0227272727272727,16.6,21.786267385487395,0.400721534017998
AND,2005,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0967741935483871,16.6,21.873783082032038,0.397123402567662
AND,2006,0.0,0.0,0.0,0.0,0.0,0.0,99.0,4.0,0.0404040404040404,17.6,21.963454381127775,0.395512151872586
AND,2007,0.0,0.0,0.0,0.0,0.0,0.0,63.0,12.0,0.1904761904761904,16.6,22.09758825321539,0.391731503980623
AND,2008,0.0,0.0,1.0,0.0,0.0,0.0,46.0,12.0,0.2608695652173913,17.0,22.130778964076317,0.391535810333527
AND,2009,0.0,0.0,0.0,0.0,0.0,0.0,63.0,6.0,0.0952380952380952,17.1,22.02459805514338,0.390305018279364
AND,2010,0.0,0.0,0.0,0.0,0.0,0.0,68.0,8.0,0.1176470588235294,18.7,21.96161854283048,0.389420175435185
AND,2011,0.0,0.0,0.0,0.0,0.0,0.0,76.0,14.0,0.1842105263157894,18.6,22.012259772160473,0.387541814602142
AND,2012,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,0.0754716981132075,18.8,21.882864333815427,0.385982227676776
AND,2013,0.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,0.1041666666666666,19.1,21.88438738606964,0.364813458271936
AND,2014,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,0.131578947368421,19.4,21.908571162133644,0.361426631141168
AND,2015,0.0,0.0,0.0,0.0,0.0,0.0,95.0,17.0,0.1789473684210526,19.0,21.749264872375797,0.357916938292783
AND,2016,0.0,0.0,0.0,0.0,0.0,0.0,73.0,18.0,0.2465753424657534,18.9,21.78680709035942,0.354835238486357
AND,2017,0.0,0.0,1.0,0.0,0.0,0.0,67.0,23.0,0.3432835820895522,18.0,21.821932151155114,0.353776224387047
AND,2018,0.0,0.0,0.0,0.0,0.0,0.0,77.0,13.0,0.1688311688311688,17.6,21.89215636084522,0.352272052521354
AND,2019,0.0,0.0,0.0,0.0,0.0,0.0,65.0,26.0,0.4,17.2,21.872301668744747,0.352558170892091
AND,2020,0.0,0.0,0.0,0.0,0.0,0.0,50.0,12.0,0.24,20.9,21.784868697420873,0.349697710794489
AND,2021,0.0,0.0,0.0,0.0,0.0,0.0,74.0,20.0,0.2702702702702703,18.4,21.924779241526608,0.350660095726382
AND,2022,0.0,0.0,0.0,0.0,0.0,0.0,60.0,23.0,0.3833333333333333,18.7,21.93283278592667,0.349690346299216
AND,2023,0.0,0.0,0.0,0.0,0.0,0.0,69.0,25.0,0.3623188405797101,,,0.350519777143216
AND,2024,0.0,0.0,0.0,0.0,0.0,1.0,50.0,9.0,0.18,,,0.350781221558211
ARE,1995,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.1,24.90902917752435,0.463648177824979
ARE,1996,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.0,0.0483870967741935,0.1,25.021519943836772,0.463308034428859
ARE,1997,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.0,0.0714285714285714,0.1,25.090673742350727,0.462473912673799
ARE,1998,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.1,25.04970492119135,0.460735412974266
ARE,1999,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.1,25.159371874394004,0.460814302172048
ARE,2000,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0555555555555555,0.1,25.37089545080396,0.460234570112024
ARE,2001,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0625,0.1,25.36101589377073,0.458186216963842
ARE,2002,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0454545454545454,0.1,25.422073909763323,0.456298803944023
ARE,2003,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0476190476190476,0.1,25.546336719006575,0.455407249080998
ARE,2004,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0434782608695652,0.1,25.71929071901291,0.455045941784775
ARE,2005,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0909090909090909,0.1,25.919647195095894,0.455295617569481
ARE,2006,0.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,0.0769230769230769,0.1,26.12646804442949,0.455052061792667
ARE,2007,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0217391304347826,0.1,26.27590030477513,0.455100871854445
ARE,2008,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4.0,0.0816326530612244,0.1,26.47734405844518,0.455696598664684
ARE,2009,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.08,0.1,26.25881646204385,0.45635386960115
ARE,2010,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,0.0754716981132075,0.1,26.392413569353227,0.456571348533235
ARE,2011,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0576923076923076,0.1,26.583100206916658,0.456367173739466
ARE,2012,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0333333333333333,0.1,26.67549599682422,0.455914279053963
ARE,2013,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,0.0652173913043478,0.1,26.715276559243566,0.455302404510342
ARE,2014,0.0,0.0,0.0,0.0,0.0,0.0,77.0,11.0,0.1428571428571428,0.1,26.749386287455003,0.450047689997675
ARE,2015,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0256410256410256,0.1,26.637513077926897,0.447568283910213
ARE,2016,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,0.037037037037037,0.1,26.634754182725093,0.445391489921778
ARE,2017,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,0.0327868852459016,0.2,26.690736837387366,0.436482337214884
ARE,2018,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0208333333333333,0.3,26.780165609652634,0.436096240584236
ARE,2019,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0208333333333333,0.7,26.75872268003727,0.435162299104274
ARE,2020,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0377358490566037,0.9,26.579692186283257,0.421464178110204
ARE,2021,0.0,0.0,0.0,0.0,0.0,1.0,46.0,7.0,0.1521739130434782,1.0,26.751596381578032,0.419366752455163
ARE,2022,0.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,0.1702127659574468,,26.95283135675605,0.420268826016156
ARE,2023,0.0,0.0,0.0,0.0,0.0,0.0,73.0,16.0,0.2191780821917808,,,0.418120016948131
ARE,2024,0.0,0.0,0.0,0.0,0.0,0.0,82.0,7.0,0.0853658536585365,,,0.416309791298487
ARG,1995,0.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,0.0975609756097561,10.2,26.276348476312023,0.411266432539217
ARG,1996,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,0.1034482758620689,8.6,26.32961830321514,0.411624841412048
ARG,1997,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0384615384615384,9.7,26.40295710146686,0.411460896420375
ARG,1998,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4.0,0.0816326530612244,9.6,26.423536318434483,0.411093324279496
ARG,1999,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0526315789473684,8.8,26.370559085571255,0.410596130319368
ARG,2000,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,0.0625,9.8,26.372957247455506,0.410056789322343
ARG,2001,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,11.5,26.31684925722117,0.410378275271675
ARG,2002,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.027027027027027,11.6,25.305413059287257,0.41145191528822
ARG,2003,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0434782608695652,10.8,25.572064114025014,0.409561362516385
ARG,2004,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5.0,0.1020408163265306,9.3,25.827136010129664,0.414538866107943
ARG,2005,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,9.6,26.015248657615526,0.409307107296769
ARG,2006,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6.0,0.075,9.2,26.172402314734992,0.408153487481687
ARG,2007,0.0,0.0,0.0,0.0,0.0,0.0,125.0,6.0,0.048,7.7,26.384594807835622,0.40824915340976
ARG,2008,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,7.7,26.6136884109151,0.409181224848364
ARG,2009,0.0,0.0,0.0,0.0,0.0,0.0,69.0,5.0,0.072463768115942,8.6,26.53133770755048,0.407874848423253
ARG,2010,0.0,0.0,0.0,0.0,0.0,0.0,92.0,13.0,0.1413043478260869,8.8,26.7721201843952,0.40751530139269
ARG,2011,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1.0,0.0086206896551724,8.8,26.99644124552098,0.409376615472302
ARG,2012,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,8.6,27.025852533234442,0.407536957814668
ARG,2013,0.0,0.0,0.0,0.0,0.0,0.0,184.0,4.0,0.0217391304347826,8.9,27.036859426121197,0.409249422217532
ARG,2014,0.0,0.0,1.0,0.0,0.0,0.0,106.0,3.0,0.0283018867924528,9.8,26.98917460981972,0.409935407627938
ARG,2015,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2.0,0.0185185185185185,9.4,27.111405784637373,0.409293505593191
ARG,2016,0.0,0.0,0.0,0.0,0.0,0.0,70.0,7.0,0.1,9.4,27.04678630696471,0.4089033179451
ARG,2017,0.0,0.0,0.0,0.0,0.0,0.0,69.0,14.0,0.2028985507246377,10.4,27.19038737195834,0.409793344766066
ARG,2018,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0476190476190476,10.5,26.98632099037234,0.409693047678998
ARG,2019,1.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,0.0930232558139534,10.7,26.827511345090965,0.407502362732722
ARG,2020,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.125,9.8,26.677911841100237,0.407799758969648
ARG,2021,0.0,0.0,0.0,0.0,1.0,0.0,10.0,3.0,0.3,9.2,26.91199622787188,0.409286782919935
ARG,2022,0.0,0.0,0.0,0.0,0.0,0.0,73.0,15.0,0.2054794520547945,,27.173373293398704,0.408216379456173
ARG,2023,0.0,0.0,0.0,0.0,0.0,0.0,92.0,13.0,0.1413043478260869,,,0.409084075419005
ARG,2024,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0909090909090909,,,0.407881465765316
ARM,1995,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0416666666666666,9.3,21.107382980139043,0.439416613288588
ARM,1996,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,12.5,21.19137326078046,0.429477648883236
ARM,1997,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0476190476190476,10.1,21.217652546126132,0.432070694853243
ARM,1998,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.03125,9.4,21.361812384636295,0.430294163908866
ARM,1999,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,8.4,21.336006420674856,0.425982265737614
ARM,2000,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,0.0425531914893617,7.2,21.371187418942576,0.425843418802032
ARM,2001,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,5.4,21.47395898182225,0.429740834357456
ARM,2002,1.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,0.0697674418604651,8.9,21.588825241973357,0.411554002835441
ARM,2003,0.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,0.073170731707317,9.8,21.755403868682055,0.409879599907154
ARM,2004,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0454545454545454,8.7,21.99768272643916,0.411739887307337
ARM,2005,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,0.1372549019607843,6.5,22.312596856860363,0.417183353531983
ARM,2006,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0149253731343283,7.7,22.577131507713354,0.414552390686376
ARM,2007,0.0,0.0,0.0,0.0,0.0,0.0,54.0,7.0,0.1296296296296296,7.0,22.94315400655075,0.417288648442641
ARM,2008,0.0,0.0,0.0,0.0,0.0,0.0,69.0,3.0,0.0434782608695652,6.4,23.179605020050694,0.409888312140008
ARM,2009,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,0.064516129032258,7.8,22.880586642858155,0.401283775969234
ARM,2010,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0666666666666666,9.4,22.94900074495556,0.396598683461332
ARM,2011,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,0.0138888888888888,8.0,23.039962078908438,0.397147244723703
ARM,2012,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,6.6,23.085940885836774,0.400279316161932
ARM,2013,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0303030303030303,6.8,23.132142810443362,0.39954707704482
ARM,2014,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.02,7.1,23.175090705937507,0.397737979234732
ARM,2015,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0222222222222222,10.7,23.079708000204242,0.398599151443654
ARM,2016,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0666666666666666,13.2,23.079025396613382,0.399682030186034
ARM,2017,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,12.6,23.167997740429524,0.397143711635547
ARM,2018,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0344827586206896,11.1,23.24562406417481,0.405011751057139
ARM,2019,0.0,0.0,0.0,0.0,0.0,0.0,87.0,7.0,0.0804597701149425,10.3,23.334753047177465,0.40589482596938
ARM,2020,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.054054054054054,8.4,23.260266599073322,0.407865476947376
ARM,2021,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,9.1,23.352374554899168,0.400923782238149
ARM,2022,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2.0,0.0294117647058823,,23.69382306094103,0.396590143272068
ARM,2023,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,,,0.394645286235298
ARM,2024,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,,,0.393642365399574
ATG,1995,0.0,0.0,0.0,0.0,0.0,0.0,86.0,25.0,0.2906976744186046,0.0,20.173840541740805,0.513960894285093
ATG,1996,0.0,0.0,0.0,0.0,0.0,0.0,73.0,11.0,0.1506849315068493,0.0,20.267132969710083,0.513757190737148
ATG,1997,0.0,0.0,0.0,0.0,0.0,0.0,67.0,13.0,0.1940298507462686,0.0,20.33851252874114,0.512784715194371
ATG,1998,0.0,0.0,0.0,0.0,0.0,0.0,77.0,4.0,0.0519480519480519,0.0,20.405618262333885,0.512708692008915
ATG,1999,0.0,0.0,0.0,0.0,0.0,0.0,58.0,9.0,0.1551724137931034,0.0,20.456953790230823,0.513339102746693
